yaw,ang_speed, meas_yaw, odom, imu, imu_int, meas_x, meas_y, odom_x, odom_y, time
90,0.25,57.1866,59.5867,54.9311,55.9296,0.167,0.259,0.112795,0.226946
90,0.25,56.1152,59.3409,54.15,54.3087,0.182,0.271,0.127117,0.219725
90,0.25,58.1981,59.9838,55.416,50.4595,0.173,0.279,0.12745,0.225282
90,0.25,56.4066,59.0951,54.2845,55.2962,0.182,0.274,0.134099,0.228975
90,0.25,56.2139,59.1329,54.2191,46.6319,0.184,0.275,0.128686,0.217012
90,0.25,56.9834,58.0361,53.2651,50.4429,0.18,0.277,0.136087,0.219669
90,0.25,58.8036,58.055,53.021,50.1492,0.175,0.289,0.124586,0.23624
90,0.25,60.72,58.9249,53.9948,53.0519,0.157,0.28,0.110126,0.223263
90,0.25,59.1263,59.0572,53.9016,44.3288,0.168,0.281,0.12866,0.219513
1.5708,0.75,1.4696,1.30039,1.217,1.13429,0.033,0.325,0.0141512,0.24931,Fri Jul 29 11:35:57 2022
1.5708,0.75,1.22228,1.2961,1.17524,1.07327,0.113,0.311,0.0629463,0.247499,Fri Jul 29 11:38:13 2022
1.5708,0.75,1.22071,1.28884,1.1965,1.11319,0.111,0.304,0.063175,0.243502,Fri Jul 29 11:39:31 2022
1.5708,0.75,1.20585,1.273,1.1753,1.11075,0.115,0.301,0.0709976,0.248158,Fri Jul 29 11:40:30 2022
1.5708,0.75,1.20709,1.29214,1.16589,1.04854,0.118,0.31,0.0659309,0.248388,Fri Jul 29 11:41:35 2022
1.5708,0.75,1.25678,1.2961,1.18711,1.08104,0.101,0.311,0.0649946,0.254239,Fri Jul 29 11:42:32 2022
1.5708,0.75,1.21566,1.28158,1.17519,1.08099,0.112,0.302,0.0672623,0.243744,Fri Jul 29 11:43:21 2022
1.5708,0.75,1.20224,1.2763,1.18528,1.13665,0.112,0.29,0.0644276,0.240767,Fri Jul 29 12:16:15 2022
1.5708,0.75,1.2301,1.29478,1.1844,1.16178,0.106,0.299,0.0627666,0.245071,Fri Jul 29 12:17:19 2022
1.5708,0.75,1.25686,1.28521,1.18351,1.09909,0.1,0.308,0.0687395,0.253778,Fri Jul 29 12:18:07 2022
1.5708,0.75,1.24218,1.28752,1.17763,1.08256,0.104,0.305,0.0685783,0.25083,Fri Jul 29 12:18:46 2022
1.5708,0.75,1.21964,1.28026,1.18443,1.10439,0.111,0.303,0.0679751,0.247772,Fri Jul 29 12:19:23 2022
1.5708,0.75,1.23284,1.27729,1.16965,1.09516,0.11,0.313,0.0676967,0.247169,Fri Jul 29 12:20:05 2022
1.5708,0.75,1.22048,1.26937,1.18114,1.09588,0.114,0.312,0.0693187,0.253081,Fri Jul 29 12:20:55 2022
1.5708,0.75,1.2241,1.27729,1.15673,1.01972,0.112,0.31,0.0681641,0.250656,Fri Jul 29 12:21:31 2022
1.5708,0.75,1.22652,1.28587,1.18444,1.10789,0.109,0.304,0.0651122,0.244939,Fri Jul 29 12:22:28 2022
1.5708,0.75,1.23556,1.28851,1.17042,1.07865,0.108,0.31,0.0661769,0.248986,Fri Jul 29 12:23:06 2022
1.5708,1,1.21686,1.32878,1.19336,1.03201,0.109,0.295,0.0569509,0.254186,Fri Jul 29 12:30:21 2022
1.5708,1,1.2732,1.32449,1.22128,1.09931,0.096,0.313,0.0516108,0.250497,Fri Jul 29 12:32:08 2022
1.5708,1,1.33133,1.32647,1.21937,1.10158,0.073,0.299,0.0390113,0.24806,Fri Jul 29 12:36:55 2022
1.5708,1,1.31409,1.33076,1.2272,0.812792,0.084,0.32,0.0489002,0.252237,Fri Jul 29 12:37:51 2022
1.5708,1,1.30534,1.34792,1.2306,1.09284,0.087,0.32,0.0474366,0.260374,Fri Jul 29 12:38:41 2022
1.5708,1,1.33647,1.33736,1.24285,1.12852,0.074,0.31,0.0538803,0.252658,Fri Jul 29 12:39:23 2022
1.5708,1,1.39208,1.35584,1.25812,1.13589,0.056,0.31,0.0353234,0.2548,Fri Jul 29 12:40:23 2022
1.5708,1,1.30265,1.32383,1.22785,1.12678,0.086,0.313,0.0514595,0.243588,Fri Jul 29 12:41:09 2022
1.5708,1,1.33251,1.33472,1.21302,1.07065,0.077,0.317,0.0431563,0.247251,Fri Jul 29 12:42:05 2022
1.5708,1,1.30723,1.31492,1.23589,1.11819,0.085,0.315,0.0514534,0.247171,Fri Jul 29 12:42:47 2022
1.5708,1,1.28022,1.33769,1.228,1.08429,0.093,0.311,0.0524937,0.251119,Fri Jul 29 12:43:36 2022
1.5708,1,1.29207,1.3093,1.19724,1.07665,0.089,0.311,0.0541081,0.246905,Fri Jul 29 12:44:21 2022
1.5708,1,1.28022,1.33439,1.19468,1.05087,0.093,0.311,0.0534694,0.249477,Fri Jul 29 12:45:10 2022
1.5708,1,1.25494,1.32812,1.23062,1.11341,0.1,0.306,0.053035,0.248621,Fri Jul 29 12:45:58 2022
1.5708,1,1.2895,1.32218,1.22512,1.09955,0.089,0.308,0.0470266,0.251735,Fri Jul 29 12:47:02 2022
-1.5708,0.25,-1.00869,-1.07233,-0.996458,-1.01629,0.177,-0.281,0.13987,-0.235629,Fri Jul 29 14:46:16 2022
-1.5708,0.25,-1.02829,-1.07629,-0.994907,-0.975928,0.17,-0.282,0.139825,-0.238413,Fri Jul 29 14:58:21 2022
-90,0.25,-58.7155,-61.3265,-56.463,-56.1002,0.175,-0.288,0.141184,-0.236788
-90,0.25,-59.5002,-60.9861,-56.2598,-57.6241,0.172,-0.292,0.145447,-0.242048
-90,0.25,-57.8149,-60.8159,-56.3055,-57.2681,0.18,-0.286,0.140348,-0.229616
-90,0.25,-56.969,-61.005,-56.6274,-57.2542,0.184,-0.283,0.142557,-0.236248
-90,0.25,-57.9221,-60.5512,-55.973,-52.3579,0.178,-0.284,0.145381,-0.236036
-90,0.25,-57.9946,-60.0595,-55.5512,-56.0677,0.175,-0.28,0.144183,-0.230283
-90,0.25,-56.5048,-60.2675,-55.8112,-47.4638,0.18,-0.272,0.148651,-0.240143
-90,0.25,-57.8477,-60.0028,-55.0718,-54.2609,0.176,-0.28,0.150637,-0.242466
-90,0.25,-61.1892,-60.7592,-56.3777,-52.2618,0.165,-0.3,0.138677,-0.258157
-90,0.25,-56.8824,-60.4755,-55.8985,-53.0048,0.182,-0.279,0.144794,-0.236217
-90,0.25,-56.4966,-60.4188,-55.044,-54.6214,0.188,-0.284,0.140068,-0.256337
-1.5708,0.25,-0.971137,-1.05088,-0.956711,-0.881381,0.186,0.275,0.143841,-0.232724,Fri Jul 29 15:19:18 2022
-1.5708,0.25,-0.953767,-1.04329,-0.949263,-0.91484,0.188,-0.265,0.14927,-0.235872,Fri Jul 29 15:20:31 2022
-1.5708,0.5,-1.22356,-1.26013,-1.17372,-1.02465,0.114,-0.315,0.0949772,-0.26046,Fri Jul 29 15:28:53 2022
-1.5708,0.5,-1.20709,-1.25452,-1.14565,-1.03645,0.118,-0.31,0.0987183,-0.266148,Fri Jul 29 15:30:07 2022
